Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 01:41:58.036,114396.4,0.002,BTCUSDT
2025-09-30 01:41:58.036,114396.3,0.002,BTCUSDT
2025-09-30 01:41:58.036,114396.3,0.001,BTCUSDT
2025-09-30 01:41:58.036,114396.3,0.001,BTCUSDT
2025-09-30 01:41:58.036,114396.1,0.002,BTCUSDT
2025-09-30 01:41:58.036,114395.9,0.001,BTCUSDT
2025-09-30 01:41:58.036,114395.9,0.005,BTCUSDT
2025-09-30 01:41:58.036,114395.9,0.066,BTCUSDT
2025-09-30 01:41:58.036,114395.8,0.002,BTCUSDT
2025-09-30 01:41:58.036,114395.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114395.4,0.045,BTCUSDT
2025-09-30 01:41:58.036,114395.4,0.001,BTCUSDT
2025-09-30 01:41:58.036,114395.2,0.002,BTCUSDT
2025-09-30 01:41:58.036,114395.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114395.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114394.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114394.5,0.001,BTCUSDT
2025-09-30 01:41:58.036,114394.5,0.002,BTCUSDT
2025-09-30 01:41:58.036,114394.4,0.001,BTCUSDT
2025-09-30 01:41:58.036,114394.2,0.001,BTCUSDT
2025-09-30 01:41:58.036,114394.1,0.06,BTCUSDT
2025-09-30 01:41:58.036,114394.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114394.0,0.002,BTCUSDT
2025-09-30 01:41:58.036,114393.9,0.011,BTCUSDT
2025-09-30 01:41:58.036,114393.9,0.002,BTCUSDT
2025-09-30 01:41:58.036,114393.9,0.002,BTCUSDT
2025-09-30 01:41:58.036,114393.7,0.001,BTCUSDT
2025-09-30 01:41:58.036,114393.6,0.001,BTCUSDT
2025-09-30 01:41:58.036,114393.5,0.002,BTCUSDT
2025-09-30 01:41:58.036,114393.4,0.002,BTCUSDT
2025-09-30 01:41:58.036,114393.3,0.001,BTCUSDT
2025-09-30 01:41:58.036,114393.3,0.002,BTCUSDT
2025-09-30 01:41:58.036,114393.2,0.229,BTCUSDT
2025-09-30 01:41:58.036,114393.1,0.969,BTCUSDT
2025-09-30 01:41:58.036,114392.9,0.004,BTCUSDT
2025-09-30 01:41:58.036,114392.8,0.002,BTCUSDT
2025-09-30 01:41:58.036,114392.8,0.001,BTCUSDT
2025-09-30 01:41:58.036,114392.7,0.066,BTCUSDT
2025-09-30 01:41:58.036,114392.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114392.5,0.001,BTCUSDT
2025-09-30 01:41:58.036,114392.5,0.03,BTCUSDT
2025-09-30 01:41:58.036,114392.4,0.001,BTCUSDT
2025-09-30 01:41:58.036,114392.4,0.002,BTCUSDT
2025-09-30 01:41:58.036,114392.4,0.017,BTCUSDT
2025-09-30 01:41:58.036,114392.2,0.002,BTCUSDT
2025-09-30 01:41:58.036,114392.1,0.003,BTCUSDT
2025-09-30 01:41:58.036,114392.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114391.9,0.002,BTCUSDT
2025-09-30 01:41:58.036,114391.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114391.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114391.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114391.4,0.002,BTCUSDT
2025-09-30 01:41:58.036,114391.4,0.001,BTCUSDT
2025-09-30 01:41:58.036,114391.4,0.002,BTCUSDT
2025-09-30 01:41:58.036,114391.3,0.001,BTCUSDT
2025-09-30 01:41:58.036,114391.2,0.001,BTCUSDT
2025-09-30 01:41:58.036,114391.0,0.002,BTCUSDT
2025-09-30 01:41:58.036,114391.0,0.002,BTCUSDT
2025-09-30 01:41:58.036,114390.8,0.001,BTCUSDT
2025-09-30 01:41:58.036,114390.6,0.001,BTCUSDT
2025-09-30 01:41:58.036,114390.6,0.005,BTCUSDT
2025-09-30 01:41:58.036,114390.6,0.005,BTCUSDT
2025-09-30 01:41:58.036,114390.5,0.002,BTCUSDT
2025-09-30 01:41:58.036,114390.5,0.003,BTCUSDT
2025-09-30 01:41:58.036,114390.4,0.002,BTCUSDT
2025-09-30 01:41:58.036,114390.1,0.002,BTCUSDT
2025-09-30 01:41:58.036,114390.0,0.022,BTCUSDT
2025-09-30 01:41:58.036,114390.0,0.022,BTCUSDT
2025-09-30 01:41:58.036,114390.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114390.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114390.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114389.8,0.002,BTCUSDT
2025-09-30 01:41:58.036,114389.7,0.001,BTCUSDT
2025-09-30 01:41:58.036,114389.5,0.007,BTCUSDT
2025-09-30 01:41:58.036,114389.4,0.001,BTCUSDT
2025-09-30 01:41:58.036,114389.4,0.066,BTCUSDT
2025-09-30 01:41:58.036,114389.2,0.002,BTCUSDT
2025-09-30 01:41:58.036,114389.1,0.001,BTCUSDT
2025-09-30 01:41:58.036,114389.0,0.006,BTCUSDT
2025-09-30 01:41:58.036,114389.0,0.002,BTCUSDT
2025-09-30 01:41:58.036,114388.9,0.003,BTCUSDT
2025-09-30 01:41:58.036,114388.8,0.001,BTCUSDT
2025-09-30 01:41:58.036,114388.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114388.5,0.001,BTCUSDT
2025-09-30 01:41:58.036,114388.4,0.001,BTCUSDT
2025-09-30 01:41:58.036,114388.2,0.002,BTCUSDT
2025-09-30 01:41:58.036,114388.2,0.001,BTCUSDT
2025-09-30 01:41:58.036,114388.1,0.001,BTCUSDT
2025-09-30 01:41:58.036,114388.1,0.001,BTCUSDT
2025-09-30 01:41:58.036,114388.1,0.002,BTCUSDT
2025-09-30 01:41:58.036,114388.1,0.157,BTCUSDT
2025-09-30 01:41:58.036,114388.1,0.006,BTCUSDT
2025-09-30 01:41:58.036,114388.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114388.0,0.002,BTCUSDT
2025-09-30 01:41:58.036,114388.0,0.062,BTCUSDT
2025-09-30 01:41:58.036,114387.9,0.001,BTCUSDT
2025-09-30 01:41:58.036,114387.9,0.001,BTCUSDT
2025-09-30 01:41:58.036,114387.8,0.008,BTCUSDT
2025-09-30 01:41:58.036,114387.7,0.001,BTCUSDT
2025-09-30 01:41:58.036,114387.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114387.6,0.001,BTCUSDT
2025-09-30 01:41:58.036,114387.5,0.03,BTCUSDT
2025-09-30 01:41:58.036,114387.4,0.001,BTCUSDT
2025-09-30 01:41:58.036,114387.4,0.002,BTCUSDT
2025-09-30 01:41:58.036,114387.2,0.001,BTCUSDT
2025-09-30 01:41:58.036,114387.1,0.002,BTCUSDT
2025-09-30 01:41:58.036,114387.0,0.104,BTCUSDT
2025-09-30 01:41:58.036,114387.0,0.001,BTCUSDT
2025-09-30 01:41:58.036,114386.8,0.002,BTCUSDT
2025-09-30 01:41:58.036,114386.8,0.065,BTCUSDT
2025-09-30 01:41:58.036,114386.8,0.002,BTCUSDT
2025-09-30 01:41:58.036,114386.5,0.001,BTCUSDT
2025-09-30 01:41:58.036,114386.5,0.002,BTCUSDT
2025-09-30 01:41:58.036,114386.3,0.002,BTCUSDT
2025-09-30 01:41:58.036,114386.3,0.017,BTCUSDT
2025-09-30 01:41:58.036,114386.2,0.002,BTCUSDT
2025-09-30 01:41:58.036,114386.2,0.066,BTCUSDT
2025-09-30 01:41:58.036,114386.1,0.001,BTCUSDT
2025-09-30 01:41:58.036,114385.9,0.001,BTCUSDT
2025-09-30 01:41:58.036,114385.9,0.001,BTCUSDT
2025-09-30 01:41:58.036,114385.8,0.002,BTCUSDT
2025-09-30 01:41:58.036,114385.8,0.007,BTCUSDT
2025-09-30 01:41:58.036,114385.7,0.001,BTCUSDT
2025-09-30 01:41:58.036,114385.7,0.087,BTCUSDT
2025-09-30 01:41:58.036,114385.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114385.6,0.002,BTCUSDT
2025-09-30 01:41:58.036,114385.6,0.007,BTCUSDT
2025-09-30 01:41:58.036,114385.6,0.002,BTCUSDT
2025-09-30 01:41:58.460,114385.7,0.001,BTCUSDT
2025-09-30 01:41:58.460,114385.7,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.002,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.001,BTCUSDT
2025-09-30 01:41:58.596,114385.6,0.024,BTCUSDT
2025-09-30 01:41:58.604,114385.7,0.037,BTCUSDT
2025-09-30 01:41:58.683,114385.6,0.008,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.243,BTCUSDT
2025-09-30 01:41:59.030,114385.7,0.001,BTCUSDT
2025-09-30 01:41:59.030,114385.7,0.043,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.001,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.004,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.035,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.014,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.158,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.095,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.001,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.012,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.004,BTCUSDT
2025-09-30 01:41:59.030,114385.7,0.002,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.004,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.003,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.096,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.022,BTCUSDT
2025-09-30 01:41:59.030,114385.6,0.094,BTCUSDT
2025-09-30 01:41:59.119,114385.6,0.001,BTCUSDT
2025-09-30 01:41:59.170,114385.6,0.012,BTCUSDT
2025-09-30 01:41:59.259,114385.6,0.001,BTCUSDT
2025-09-30 01:41:59.535,114385.7,0.001,BTCUSDT
2025-09-30 01:41:59.535,114385.7,0.001,BTCUSDT
2025-09-30 01:41:59.535,114385.7,0.035,BTCUSDT
2025-09-30 01:41:59.632,114385.6,0.34,BTCUSDT
2025-09-30 01:41:59.632,114385.6,0.177,BTCUSDT
2025-09-30 01:41:59.632,114385.6,0.045,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.148,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.207,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.163,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.165,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.125,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.001,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.356,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.033,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.33,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.5,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.001,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.047,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.057,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.159,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.295,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.643,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.001,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.623,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.8,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.001,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.43,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.52,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.469,BTCUSDT
2025-09-30 01:41:59.635,114385.6,0.531,BTCUSDT
